===== BMS 电池安全监测日志 =====
[2025-12-19 18:53:03] PACK 总电压:  44.08 V | 电池电流: 放电   1.84 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:09] PACK 总电压:  44.07 V | 电池电流: 放电   1.74 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:14] PACK 总电压:  44.07 V | 电池电流: 放电   1.83 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:19] PACK 总电压:  44.07 V | 电池电流: 放电   1.78 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:24] PACK 总电压:  44.04 V | 电池电流: 放电   1.91 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:29] PACK 总电压:  44.02 V | 电池电流: 放电   1.87 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:34] PACK 总电压:  43.99 V | 电池电流: 放电   1.86 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:39] PACK 总电压:  44.02 V | 电池电流: 放电   1.80 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:44] PACK 总电压:  43.95 V | 电池电流: 放电   2.08 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:49] PACK 总电压:  43.97 V | 电池电流: 放电   2.02 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:54] PACK 总电压:  43.97 V | 电池电流: 放电   1.79 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:53:59] PACK 总电压:  43.95 V | 电池电流: 放电   1.90 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:04] PACK 总电压:  43.90 V | 电池电流: 放电   2.09 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:10] PACK 总电压:  43.94 V | 电池电流: 放电   1.85 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:15] PACK 总电压:  43.90 V | 电池电流: 放电   1.74 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:20] PACK 总电压:  43.91 V | 电池电流: 放电   2.07 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:25] PACK 总电压:  43.91 V | 电池电流: 放电   1.83 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:54:30] PACK 总电压:  43.88 V | 电池电流: 放电   1.91 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:35] PACK 总电压:  43.86 V | 电池电流: 放电   1.91 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:54:40] PACK 总电压:  43.85 V | 电池电流: 放电   1.85 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:54:45] PACK 总电压:  43.80 V | 电池电流: 放电   1.89 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:54:50] PACK 总电压:  43.82 V | 电池电流: 放电   1.77 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:54:55] PACK 总电压:  43.82 V | 电池电流: 放电   2.02 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:00] PACK 总电压:  43.82 V | 电池电流: 放电   1.81 A | SOC:  16 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:55:05] PACK 总电压:  43.81 V | 电池电流: 放电   1.86 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:11] PACK 总电压:  43.79 V | 电池电流: 放电   1.87 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:16] PACK 总电压:  43.77 V | 电池电流: 放电   1.81 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:21] PACK 总电压:  43.77 V | 电池电流: 放电   1.92 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:26] PACK 总电压:  43.75 V | 电池电流: 放电   1.80 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:31] PACK 总电压:  43.76 V | 电池电流: 放电   1.75 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:36] PACK 总电压:  43.73 V | 电池电流: 放电   1.81 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:41] PACK 总电压:  43.72 V | 电池电流: 放电   1.78 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:46] PACK 总电压:  43.70 V | 电池电流: 放电   1.83 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:51] PACK 总电压:  43.70 V | 电池电流: 放电   1.74 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:55:56] PACK 总电压:  43.70 V | 电池电流: 放电   1.73 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:01] PACK 总电压:  43.68 V | 电池电流: 放电   1.82 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:06] PACK 总电压:  43.65 V | 电池电流: 放电   1.91 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:12] PACK 总电压:  43.65 V | 电池电流: 放电   2.24 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:17] PACK 总电压:  43.59 V | 电池电流: 放电   1.81 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:22] PACK 总电压:  43.62 V | 电池电流: 放电   1.93 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:27] PACK 总电压:  43.65 V | 电池电流: 放电   1.85 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:32] PACK 总电压:  43.54 V | 电池电流: 放电   2.00 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
